Point,Name,Address,Address2,Type,City,State,Zip,Geometry,Lat,Long,Requires_Appt,Requires_Membership,Under18,Under18_With_Adult,Adults,Wifi,PC_Count,Mac_Count,Linux_Count,Has_Browser,Has_Office,Has_AV,Has_GraphicDesign,Has_Animation,Has_Dev,Contact_Name,Contact_Title,Contact_Phone,Contact_Email,Website,TechSupport,Print_Free,Print_AtCost,Hours,Other_restrictions
,Welsh Road,9233 Roosevelt Boulevard,,Library, Philadelphia, PA,19114,"{""type"":""Point"",""coordinates"":[-75.032103,40.074095]}", ,,1,1,1,1,1,,1,0,0,1,1,,,,,,,,,www.freelibrary.org,,0,1,,
,Chestnut Hill,8711 Germantown Ave,,Library, Philadelphia, PA,19118,"{""type"":""Point"",""coordinates"":[-75.209327,40.077726]}", ,,1,1,1,1,1,,1,0,0,1,1,,,,,,,,,www.freelibrary.org,,0,1,,
,West Oak Lane,2000 Washington Lane,,Library, Philadelphia, PA,19138,"{""type"":""Point"",""coordinates"":[-75.157769,40.067206]}", ,,1,1,1,1,1,,1,0,0,1,1,,,,,,,,,www.freelibrary.org,,0,1,,
,Andorra,705 E Cathedral Road,,Library, Philadelphia, PA,19128,"{""type"":""Point"",""coordinates"":[-75.238441,40.064331]}", ,,1,1,1,1,1,,1,0,0,1,1,,,,,,,, 215-685-2552 ,www.freelibrary.org,,0,1,"MWF 10am-5pm, Tu Th 12-8pm, Closed Sat/Sun",
,Torresdale,3079 Holme Ave,,Library, Philadelphia, PA,19136,"{""type"":""Point"",""coordinates"":[-75.01598,40.056823]}", ,,1,1,1,1,1,,1,0,0,1,1,,,,,,,,,www.freelibrary.org,,0,1,,
,Lovett Memorial,6945 Germantown Ave,,Library, Philadelphia, PA,19119,"{""type"":""Point"",""coordinates"":[-75.187687,40.056795]}", ,,1,1,1,1,1,,1,0,0,1,1,,,,,,,,,www.freelibrary.org,,0,1,,
,Oak Lane,6614 N 12Th St,,Library, Philadelphia, PA,19126,"{""type"":""Point"",""coordinates"":[-75.137765,40.054588]}", ,,1,1,1,1,1,,1,0,0,1,1,,,,,,,,,www.freelibrary.org,,0,1,,
,Regional - Northeast,2228 Cottman Ave,,Library, Philadelphia, PA,19149,"{""type"":""Point"",""coordinates"":[-75.061488,40.04816]}", ,,1,1,1,1,1,,1,0,0,1,1,,,,,,,,,www.freelibrary.org,,0,1,,
,Lawncrest,6098 Rising Sun Ave,,Library, Philadelphia, PA,19111,"{""type"":""Point"",""coordinates"":[-75.100092,40.046179]}", ,,1,1,1,1,1,,1,0,0,1,1,,,,,,,,,www.freelibrary.org,,0,1,,
,Ogontz,6017-35 Ogontz Ave,,Library, Philadelphia, PA,19141,"{""type"":""Point"",""coordinates"":[-75.150728,40.047091]}", ,,1,1,1,1,1,,1,0,0,1,1,,,,,,,,,www.freelibrary.org,,0,1,,
,Holmesburg,7810 Frankford Ave,,Library, Philadelphia, PA,19136,"{""type"":""Point"",""coordinates"":[-75.031748,40.040429]}", ,,1,1,1,1,1,,1,0,0,1,1,,,,,,,,,www.freelibrary.org,,0,1,,
,Bushrod,6304 Castor Ave,,Library, Philadelphia, PA,19149,"{""type"":""Point"",""coordinates"":[-75.0786,40.038683]}", ,,1,1,1,1,1,,1,0,0,1,1,,,,,,,,,www.freelibrary.org,,0,1,"MWF 10am-5pm, Tu Th 12-8pm, Closed Sat/Sun",
,Greater Olney,5501 N 5Th St,,Library, Philadelphia, PA,19120,"{""type"":""Point"",""coordinates"":[-75.130631,40.03486]}", ,,1,1,1,1,1,,1,0,0,1,1,,,,,,,,,www.freelibrary.org,,0,1,,
,Roxborough,6245 Ridge Ave,,Library, Philadelphia, PA,19128,"{""type"":""Point"",""coordinates"":[-75.21828,40.036681]}", ,,1,1,1,1,1,,1,0,0,1,1,,,,,,,,,www.freelibrary.org,,0,1,,
,Regional - Northwest,68 W Chelten Ave,,Library, Philadelphia, PA,19144,"{""type"":""Point"",""coordinates"":[-75.176016,40.034316]}", ,,1,1,1,1,1,,1,0,0,1,1,,,,,,,,,www.freelibrary.org,,0,1,,
,Logan,1333 Wagner Ave,,Library, Philadelphia, PA,19141,"{""type"":""Point"",""coordinates"":[-75.145323,40.031772]}", ,,1,1,1,1,1,,1,0,0,1,1,,,,,,,,,www.freelibrary.org,,0,1,,
,Tacony,6742 Torresdale Ave,,Library, Philadelphia, PA,19135,"{""type"":""Point"",""coordinates"":[-75.045209,40.025309]}", ,,1,1,1,1,1,,1,0,0,1,1,,,,,,,,,www.freelibrary.org,,0,1,,
,Wyoming,231 E Wyoming Ave,,Library, Philadelphia, PA,19120,"{""type"":""Point"",""coordinates"":[-75.120686,40.021331]}", ,,1,1,1,1,1,,1,0,0,1,1,,,,,,,,,www.freelibrary.org,,0,1,,
,Frankford,4634 Frankford Ave,,Library, Philadelphia, PA,19124,"{""type"":""Point"",""coordinates"":[-75.084957,40.015691]}", ,,1,1,1,1,1,,1,0,0,1,1,,,,,,,,,www.freelibrary.org,,0,1,,
,Falls Of Schuylkill,3501 Midvale Ave,,Library, Philadelphia, PA,19129,"{""type"":""Point"",""coordinates"":[-75.192367,40.014294]}", ,,1,1,1,1,1,,1,0,0,1,1,,,,,,,,,www.freelibrary.org,,0,1,,
,Nicetown-Tioga,3720 N Broad St,,Library, Philadelphia, PA,19140,"{""type"":""Point"",""coordinates"":[-75.151317,40.009979]}", ,,1,1,1,1,1,,1,0,0,1,1,,,,,,,,,www.freelibrary.org,,0,1,,
,Kensington,104 W Dauphin St,,Library, Philadelphia, PA,19133,"{""type"":""Point"",""coordinates"":[-75.132653,39.984692]}", ,,1,1,1,1,1,,1,0,0,1,1,,,,,,,,,www.freelibrary.org,,0,1,,
,Widener,2808 W  Lehigh Ave,,Library, Philadelphia, PA,19132,"{""type"":""Point"",""coordinates"":[-75.17762,39.996712]}", ,,1,1,1,1,1,,1,0,0,1,1,,,,,,,,,www.freelibrary.org,,0,1,,
,Mcpherson Square,601 E Indiana Ave,,Library, Philadelphia, PA,19134,"{""type"":""Point"",""coordinates"":[-75.118874,39.994828]}", ,,1,1,1,1,1,,1,0,0,1,1,,,,,,,,,www.freelibrary.org,,0,1,,
,Wynnefield,5325 Overbrook Ave,,Library, Philadelphia, PA,19131,"{""type"":""Point"",""coordinates"":[-75.233643,39.995037]}", ,,1,1,1,1,1,,1,0,0,1,1,,,,,,,,,www.freelibrary.org,,0,1,,
,Lehigh Avenue,601 W Lehigh Ave,,Library, Philadelphia, PA,19133,"{""type"":""Point"",""coordinates"":[-75.142518,39.992688]}", ,,1,1,1,1,1,,1,0,0,1,1,,,,,,,,,www.freelibrary.org,,0,1,,
,Richmond,2987 Almond St,,Library, Philadelphia, PA,19134,"{""type"":""Point"",""coordinates"":[-75.108358,39.98281]}", ,,1,1,1,1,1,,1,0,0,1,1,,,,,,,,,www.freelibrary.org,,0,1,,
,Cecil B. Moore,2320 W Cecil B. Moore Ave,,Library, Philadelphia, PA,19121,"{""type"":""Point"",""coordinates"":[-75.173561,39.980538]}", ,,1,1,1,1,1,,1,0,0,1,1,,,,,,,,,www.freelibrary.org,,0,1,"MW 10 am - 6pm, Tu/Th/F 10 am - 5pm, Closed Sat/Sun",
,George Instit (Closed),1461 N 52Nd St,,Library, Philadelphia, PA,19131,"{""type"":""Point"",""coordinates"":[-75.226551,39.97654]}", ,,1,1,1,1,1,,1,0,0,1,1,,,,,,,,,www.freelibrary.org,,0,1,,
,Overbrook Park,7422 Haverford Ave,,Library, Philadelphia, PA,19151,"{""type"":""Point"",""coordinates"":[-75.264021,39.976022]}", ,,1,1,1,1,1,,1,0,0,1,1,,,,,,,,,www.freelibrary.org,,0,1,,
,Fishtown Community,1217 E Montgomery Ave,,Library, Philadelphia, PA,19125,"{""type"":""Point"",""coordinates"":[-75.127268,39.971884]}", ,,1,1,1,1,1,,1,0,0,1,1,,,,,,,,,www.freelibrary.org,,0,1,,
,R.G. Derodriguez,600 W Girard Ave,,Library, Philadelphia, PA,19123,"{""type"":""Point"",""coordinates"":[-75.146843,39.970132]}", ,,1,1,1,1,1,,1,0,0,1,1,,,,,,,,,www.freelibrary.org,,0,1,,
,Haddington,446 N 65Th St,,Library, Philadelphia, PA,19151,"{""type"":""Point"",""coordinates"":[-75.249574,39.970546]}", ,,1,1,1,1,1,,1,0,0,1,1,,,,,,,,,www.freelibrary.org,,0,1,,
,Haverford Avenue,5543 Haverford Ave,,Library, Philadelphia, PA,19139,"{""type"":""Point"",""coordinates"":[-75.231623,39.967674]}", ,,1,1,1,1,1,,1,0,0,1,1,,,,,,,,,www.freelibrary.org,,0,1,,
,"Durham, Charles /Mantua",3320 Haverford Ave,,Library, Philadelphia, PA,19104,"{""type"":""Point"",""coordinates"":[-75.191325,39.963852]}", ,,1,1,1,1,1,,1,0,0,1,1,,,,,,,,,www.freelibrary.org,,0,1,"MW 11 am - 7 pm, Tu/Th/F 10 am - 5pm, Sat/Sun Closed.",
,Central Library,1901 Vine St,,Library, Philadelphia, PA,19103,"{""type"":""Point"",""coordinates"":[-75.171067,39.95936]}", ,,1,1,1,1,1,,1,0,0,1,1,,,,,,,,,www.freelibrary.org,,0,1,,
,Regional - West Philadelphia,125 S 52Nd St,,Library, Philadelphia, PA,19139,"{""type"":""Point"",""coordinates"":[-75.225144,39.957535]}", ,,1,1,1,1,1,,1,0,0,1,1,,,,,,,,,www.freelibrary.org,,0,1,,
,Walnut Street West,3948 Walnut St,,Library, Philadelphia, PA,19104,"{""type"":""Point"",""coordinates"":[-75.202443,39.953783]}", ,,1,1,1,1,1,,1,0,0,1,1,,,,,,,,,www.freelibrary.org,,0,1,,
,Blanche A. Nixon,5800 Cobbs Creek Parkway,,Library, Philadelphia, PA,19143,"{""type"":""Point"",""coordinates"":[-75.241511,39.945749]}", ,,1,1,1,1,1,,1,0,0,1,1,,,,,,,215-685-1973,,www.freelibrary.org,,0,1,,
,Kingsessing,1201 S 51St St,,Library, Philadelphia, PA,19143,"{""type"":""Point"",""coordinates"":[-75.218209,39.942011]}", ,,1,1,1,1,1,,1,0,0,1,1,,,,,,,,,www.freelibrary.org,,0,1,,
,Queen Memorial,1201 South 23rd Street,,Library, Philadelphia, PA,19146,"{""type"":""Point"",""coordinates"":[-75.181662,39.937896]}", ,,1,1,1,1,1,,1,0,0,1,1,,,,,,,,,www.freelibrary.org,,0,1,,
,"Santore, Chas/Southwark",932 S 7Th St,,Library, Philadelphia, PA,19147,"{""type"":""Point"",""coordinates"":[-75.155224,39.937006]}", ,,1,1,1,1,1,,1,0,0,1,1,,,,,,,,,www.freelibrary.org,,0,1,,
,South Philadelphia,1700 S Broad St,,Library, Philadelphia, PA,19145,"{""type"":""Point"",""coordinates"":[-75.16928,39.929168]}", ,,1,1,1,1,1,,1,0,0,1,1,,,,,,,,,www.freelibrary.org,,0,1,,
,Whitman,200 Snyder Ave,,Library, Philadelphia, PA,19148,"{""type"":""Point"",""coordinates"":[-75.150283,39.921623]}", ,,1,1,1,1,1,,1,0,0,1,1,,,,,,,,,www.freelibrary.org,,0,1,,
,Fumo Family,2437 S  Broad St,,Library, Philadelphia, PA,19148,"{""type"":""Point"",""coordinates"":[-75.170351,39.919783]}", ,,1,1,1,1,1,,1,0,0,1,1,,,,,,,,,www.freelibrary.org,,0,1,,
,Passyunk,1935 Shunk St,,Library, Philadelphia, PA,19145,"{""type"":""Point"",""coordinates"":[-75.180108,39.919577]}", ,,1,1,1,1,1,,1,0,0,1,1,,,,,,,,,www.freelibrary.org,,0,1,,
,Paschallville,6942 Woodland Ave,,Library, Philadelphia, PA,19142,"{""type"":""Point"",""coordinates"":[-75.240878,39.920388]}", ,,1,1,1,1,1,,1,0,0,1,1,,,,,,,,,www.freelibrary.org,,0,1,,
,Eastwick,2851 Island Ave,,Library, Philadelphia, PA,19153,"{""type"":""Point"",""coordinates"":[-75.240313,39.905935]}", ,,1,1,1,1,1,,1,0,0,1,1,,,,,,,,,www.freelibrary.org,,0,1,,
,Phila City Institute,1905 Locust St,,Library, Philadelphia, PA,19103,"{""type"":""Point"",""coordinates"":[-75.173137,39.949427]}", ,,1,1,1,1,1,,1,0,0,1,1,,,,,,,,,www.freelibrary.org,,0,1,,
,Independence Branch,18 S 7Th St,,Library, Philadelphia, PA,19106,"{""type"":""Point"",""coordinates"":[-75.152401,39.95029]}", ,,1,1,1,1,1,,1,0,0,1,1,,,,,,,,,www.freelibrary.org,,0,1,,
,Blind And Physically Handicapped,919 Walnut St,,Library, Philadelphia, PA,19107,"{""type"":""Point"",""coordinates"":[-75.15679,39.948554]}", ,,1,1,1,1,1,,1,0,0,1,1,,,,,,,,,www.freelibrary.org,,0,1,,
,Nelson Playground, 2500-34 N. 3rd St. ,,,Philadelphia,PA,19133,,39.9891,-75.1382,,,,,,,,,,,,,,,,,,,,,,,,,
,Shepard Recreation Center, 5700 Haverford Ave. ,,Rec Center/Playground,Philadelphia,PA,19131,,39.968,-75.2337,,,,,,,,,,,,,,,,,,,,,,,,,
,Kingsessing Recreation Center, 4901 Kingsessing Ave. ,,Rec Center/Playground,Philadelphia,PA,19143,,39.9431,-75.2153,,,,,,,,,,,,,,,,,,,,,,,,,
,Francis J. Myers Recreation Center, 5800 Chester Ave. ,,Rec Center/Playground,Philadelphia,PA,19143,,39.9357,-75.2285,,,,,,,,,,,,,,,,,,,,,,,,,
,Penrose Playground, 1101 W. Susquehanna Ave. ,,Rec Center/Playground,Philadelphia,PA,19122,,39.9858,-75.1519,,,,,,,,,,,,,,,,,,,,,,,,,
,Fransicville Recreation Center, 1737-39 Francis St. ,,Rec Center/Playground,Philadelphia,PA,19121,,39.9687,-75.1669,,,,,,,,,,,,,,,,,,,,,,,,,
,Martin Luther King Jr. Recreation Center, 2101-35 Cecil B. Moore Ave. ,,Rec Center/Playground,Philadelphia,PA,19121,,39.9803,-75.1706,,,,,,,,,,,,,,,,,,,,,,,,,
,Waterview Recreation Center, 5826 McMahon St. ,,Rec Center/Playground,Philadelphia,PA,19144,,40.0448,-75.1684,,,,,,,,,,,,,,,,,,,,,,,,,
,Institute for the Development of African-American Youth, 2221 N. Broad St. ,,,Philadelphia,PA,19132,,39.9869,-75.1561,,,,,,,,,,,,,,,,,,,,,,,,,
,Cambodian Association of Greater Philadelphia, 2416 S. 7th St. ,,,Philadelphia,PA,19148,,39.919,-75.1591,,,,,,,,,,,,,,,,,,,,,,,,,
,Heavenly Hall Annex,4015 Poplar St,,,Philadelphia,PA,19104,,39.9729,-75.2047,,,,,,,,,,,,,,,,,,(215) 686-5372,,,,,,Mon.-Fri. 1:00 PM-5:00 PM,
,Smith Playground, 2100 24th St. ,,,Philadelphia,PA,19145,,39.9265,-75.1864,,,,,,,,,,,,,,,,,,,,,,,,,
,DiSilvestro Playground, 1701 S. 15th St. ,,Rec Center/Playground,Philadelphia,PA,19145,,39.9294,-75.1703,,,,,,,,,,,,,,,,,,,,,,,,,
,Russo Park Playground , 7301 Torresdale Ave. ,,Rec Center/Playground,Philadelphia,PA,19136,,40.03,-75.0332,,,,,,,,,,,,,,,,,,,,,,,,,
,Roosevelt Playground, 6544 Walker St. ,,Rec Center/Playground,Philadelphia,PA,19135,,40.0271,-75.0527,,,,,,,,,,,,,,,,,,,,,,,,,
,Dixon House, 1920 S. 20th Street ,,,Philadelphia,PA,19145,,39.9275,-75.1789,,,,,,,,,,,,,,,,,,,,,,,,,
,OSH McAuley House, 1800 Morris Street ,,,Philadelphia,PA,19145,,39.93,-75.1752,,,,,,,,,,,,,,,,,,,,,,,,,
,Audenried High school, 3301 Tasker st. ,,School,Philadelphia,PA,19145,,39.9345,-75.1992,,,,,,,,,,,,,,,,,,,,,,,,,
,YMCA Christian Street, 1724 Christian St. ,,Community Center,Philadelphia,PA,19146,,39.9405,-75.172,,,,,,,,,,,,,,,,,,,,,,,,,
,YMCA Roxborough, 7201 Ridge Ave. ,,Community Center,Philadelphia,PA,19128,,40.0455,-75.232,,,,,,,,,,,,,,,,,,,,,,,,,
,YMCA Northeast Philadelphia, 11088 Knights Rd. ,,Community Center,Philadelphia,PA,19154,,40.0844,-74.9757,,,,,,,,,,,,,,,,,,,,,,,,,
,YMCA Columbia North, 1400 N Broad St. ,,Community Center,Philadelphia,PA,19121,,39.9745,-75.1588,,,,,,,,,,,,,,,,,,,,,,,,,
,Self - Outley House, 6901 Woodland Ave. ,,,Philadelphia,PA,19142,,39.9216,-75.2401,,,,,,,,,,,,,,,,,,,,,,,,,
,Self - Sheila Dennis (Women's Shelter), 2601 North Broad Street  ,,,Philadelphia,PA,19132,,39.9917,-75.1543,,,,,,,,,,,,,,,,,,,,,,,,,
,Darlene Morris, 616-620 N. 43rd Street ,,,Philadelphia,PA,19104,,39.9632,-75.2095,,,,,,,,,,,,,,,,Michaele Ferree ,,(215) 222-3359,,,,,,Mon.-Fri. 9:00 AM-5:00 PM, (Residents Only)
,OSH RHD Progress Haven, 2260-62 N. 20th Street ,,,Philadelphia,PA,19132,,39.989,-75.1657,,,,,,,,,,,,,,,,,,,,,,,,,
,OSH People R Us Comm. Res. Svcs, 2101-03 W. Tioga Street ,,,Philadelphia,PA,19140,,40.0079,-75.1634,,,,,,,,,,,,,,,,,,,,,,,,,
,OSH Kirkbride Traveler&#039;s Aid Society, 111 N. 49th Street ,,,Philadelphia,PA,19139,,39.9626,-75.2197,,,,,,,,,,,,,,,,,,,,,,,,,
,Congreso de Latinos Main building, 216 W Somerset st. ,,,Philadelphia,PA,19133,,39.9929,-75.1354,,,,,,,,,,,,,,,,,,,,,,,,,
,Congreso de Latinos Hutchinson st. , 3439 N. Hutchinson st. ,,,Philadelphia,PA,19133,,40.0043,-75.1431,,,,,,,,,,,,,,,,,,,,,,,,,
,Congreso de Latinos American street, 2800 N. American St. ,,,Philadelphia,PA,19133,,39.994,-75.1363,,,,,,,,,,,,,,,,,,,,,,,,,
,Turning the Tide, 425 S. 61st St. ,,,Philadelphia,PA,19143,,39.9548,-75.244,,,,,,,,,,,,,,,,,,,,,,,,,
,YMCA West Philadelphia, 5201 Chestnut St ,,,Philadelphia,PA,19139,,39.9585,-75.2252,,,,,,,,,,,,,,,,,,,,,,,,,
,Prevention Point Philadelphia, 166 W Lehigh Ave. ,,,Philadelphia,PA,19133,,39.991,-75.1342,,,,,,,,,,,,,,,,,,,,,,,,,
,Athletic Recreation Center, 1401-55 N. 27th St. ,,,Philadelphia,PA,19121,,39.9772,-75.1798,,,,,,,,,,,,,,,,,,,,,,,,,
,Community Women's Education project, 2801 Frankford Ave. ,,,Philadelphia,PA,19107,,39.9886,-75.1196,,,,,,,,,,,,,,,,,,,,,,,,,
,Cecil B. Moore Recreation Center, 2551 N. 22nd St. ,,Rec Center/Playground,Philadelphia,PA,19132,,39.9935,-75.168,,,,,,,,,,,,,,,,,,,,,,,,,
,Mallery Playground, 100-700 E. Johnson St. ,,Rec Center/Playground,Philadelphia,PA,19144,,40.0478,-75.1802,,,,,,,,,,,,,,,,,,,,,,,,,
,Rivera Recreation Center, 3201 N. 5th St. ,,,Philadelphia,PA,19140,,39.9998,-75.1385,,,,,,,,,,,,,,,,,,,,,,,,,
,St. John's Hospice, 1221 Race st. ,,,Philadelphia,PA,19107,,39.956,-75.16,,,,,,,,,,,,,,,,,,,,,,,,,
,St. John's - Good shepherd Program, 1225 Race st. ,,,Philadelphia,PA,19107,,39.956,-75.1601,,,,,,,,,,,,,,,,,,,,,,,,,
,Liberty Resources Inc., 714 Market st ,,,Philadelphia,PA,19106,,39.9507,-75.1528,,,,,,,,,,,,,,,,,,,,,,,,,
,Institute for Community Justice, 21 S. 12th Street ,,,Philadelphia,PA,19107,,39.9511,-75.16,,,,,,,,,,,,,,,,,,,,,,,,,
,Pennrose Cloisters III, 3900 Haverford Ave. ,,,Philadelphia,PA,19104,,39.9629,-75.1999,,,,,,,,,,,,,,,,,,,,,,,,,
,Sarah Allen Senior Center,4035 Parrish Street,,,Philadelphia,PA,19104,,39.9683,-75.2047,,,0,0,1,,,,,,,,,,,,,(215) 222-3022,,,,,,,
,Asociacion Puertorriquenos en Marcha (APM)/Rising Sun, 4301 Rising Sun Ave. ,,,Philadelphia,PA,19140,,40.016,-75.1295,,,,,,,,,,,,,,,,,,,,,,,,,
,Asociacion Puertorriquenos en Marcha (APM)/Front St., 3263-65 N. Front St. ,,,Philadelphia,PA,19140,,40,-75.1287,,,,,,,,,,,,,,,,,,,,,,,,,
,Dignity Housing II, 5151 Wayne Ave. ,,,Philadelphia,PA,19144,,40.0272,-75.1705,,,,,,,,,,,,,,,,,,,,,,,,,
,Dignity Housing III, 5221 Germantown Ave. ,,,Philadelphia,PA,19144,,40.0315,-75.1678,,,,,,,,,,,,,,,,,,,,,,,,,
,Drueding Center/Project Rainbow, 413 W. Master St. ,,,Philadelphia,PA,19122,,39.9725,-75.1431,,,,,,,,,,,,,,,,,,,,,,,,,
,Mercy Neighborhood Ministries, 1939 W. Venango St. ,,,Philadelphia,PA,19140,,40.009,-75.1608,,,,,,,,,,,,,,,,,,,,,,,,,
,Partnership CDC, 4027 Market St. ,,,Philadelphia,PA,19104,,39.9574,-75.203,,,,,,,,,,,,,,,,,,,,,,,,,
,Methodist Family Services of Philadelphia, 4300 Monument Rd. ,,,Philadelphia,PA,19131,,40.0015,-75.2153,,,,,,,,,,,,,,,,,,,,,,,,,
,AchieveAbility, 59 N. 60th St. ,,,Philadelphia,PA,19139,,39.9634,-75.2403,,,,,,,,,,,,,,,,,,,,,,,,,
,VICA Technologies LLC, 4155 Lancaster Ave. ,,,Philadelphia,PA,19104,,39.9662,-75.2071,,,,,,,,,,,,,,,,,,(610) 637-9284,,,,,,"Mon. & Fri. 9AM - 10PM, Wed. 9AM - 5PM",
,The Village of the Arts and Humanities, 2544 Germantown Ave. ,,,Philadelphia,PA,19133,,39.9909,-75.1483,,,,,,,,,,,,,,,,,,,,,,,,,
,Urban Affairs Coalition, 1207 Chestnut St. ,7th Fl. ,,Philadelphia,PA,19107,,39.9509,-75.1575,,,,,,,,,,,,,,,,,,,,,,,,,
